A1;A768;A769;A770;A771;A772;A773;A774;A775;A776;A777;A778;A779;A780;A781;A782;A783;A784;A785;A786;A787;A788;A789;A790;A791;A792;A793;A794;A795;A796;A797;A798;A799;A800;A801;A802;A803;A804;A805;A806;A807;A808;A809;A810;A811;A812;A813;A814;A815;A816;A817;A818;A819;A820;A821;A822;A823;A824;A825;A826;A827;A828;A829;A830;A831;A832;A833;A834;A835;A836;A837;A838;A839;A840;A841;A842;
1100015;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Sim;2003;Paritário;Sim;Não;Não;Não;0;Não;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1100023;Secretaria municipal em conjunto com outras políticas;Sim;Sim;Não;Não;Não;Não;Possui lei;dez/05;-;Sim;2005;Paritário;Sim;Sim;Sim;Sim;12;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Não;Sim;SECRETARIA DE DESENVOLVIMENTO SOCIAL;Não;Não;Não;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1100031;Setor subordinado a outra secretaria;Não;Não;Não;Sim;Não;Não;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1100049;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Sim;2003;Paritário;Não;Sim;Não;Não;0;Não;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1100056;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1100064;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1100072;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Sim;Não;Sim;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1100080;Setor subordinado diretamente à chefia do Executivo;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1100098;Secretaria municipal em conjunto com outras políticas;Não;Sim;Não;Não;Não;Não;Não possui;-;-;Sim;2004;Não paritário;Sim;Sim;Não;Não;0;Não;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Sim;Não;Não;Sim;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;
1100106;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1100114;Não possui estrutura;-;-;-;-;-;-;Possui lei;nov/09;-;Sim;2009;Paritário;Não;Não;Sim;Não;5;Não;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1100122;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Sim;2003;Paritário;Não;Sim;Não;Não;0;Sim;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1100130;Secretaria municipal em conjunto com outras políticas;Não;Sim;Não;Não;Não;Não;Possui lei;dez/12;-;Sim;2004;Paritário;Sim;Não;Não;Não;3;Não;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;
1100148;Órgão da administração indireta;-;-;-;-;-;-;Possui lei;nov/03;-;Sim;2003;Paritário;Sim;Sim;Sim;Sim;0;Não;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1100155;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1100189;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Sim;Sim;Sim;Não;Sim;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1100205;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Sim;2010;Não paritário;Sim;Não;Sim;Sim;6;Não;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1100254;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Sim;Não;Sim;Não;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1100262;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1100288;Setor subordinado diretamente à chefia do Executivo;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1100296;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1100304;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Possui lei;nov/03;-;Sim;2010;Não paritário;Sim;Não;Não;Não;0;Não;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1100320;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Sim;Sim;Não;-;-;-;Sim;Sim;Não;Não;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1100338;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;
1100346;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1100379;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Possui lei;set/14;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1100403;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1100452;Não possui estrutura;-;-;-;-;-;-;Possui lei;jun/03;-;Sim;2003;Paritário;Sim;Sim;Não;Sim;1;Sim;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não informado;-;-;-;Não;-;-;-;
1100502;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1100601;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1100700;Setor subordinado a outra secretaria;Não;Não;Não;Não;Não;Sim;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1100809;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Sim;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1100908;Setor subordinado a outra secretaria;Sim;Não;Não;Sim;Não;Não;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1100924;Setor subordinado a outra secretaria;Não;Sim;Não;Sim;Não;Não;Possui lei;nov/11;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Não;Sim;Não;Não;Sim;
1100940;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1101005;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Sim;2003;Paritário;Sim;Não;Não;Não;1;Não;Sim;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;SCRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Não;Não;Não;Sim;Sim;Não;Sim;Não;-;-;-;Sim;Sim;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
1101104;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
