A1;A1022;A1023;A1024;A1025;A1026;A1027;A1028;A1029
1100015;11;15;1 - Norte;Rondônia;RO;Alta Floresta D'Oeste;25652;4 - 20001 até 50000
1100023;11;23;1 - Norte;Rondônia;RO;Ariquemes;102860;6 - 100001 até 500000
1100031;11;31;1 - Norte;Rondônia;RO;Cabixi;6424;2 - 5001 até 10000
1100049;11;49;1 - Norte;Rondônia;RO;Cacoal;86556;5 - 50001 até 100000
1100056;11;56;1 - Norte;Rondônia;RO;Cerejeiras;18013;3 - 10001 até 20000
1100064;11;64;1 - Norte;Rondônia;RO;Colorado do Oeste;19001;3 - 10001 até 20000
1100072;11;72;1 - Norte;Rondônia;RO;Corumbiara;8938;2 - 5001 até 10000
1100080;11;80;1 - Norte;Rondônia;RO;Costa Marques;16258;3 - 10001 até 20000
1100098;11;98;1 - Norte;Rondônia;RO;Espigão D'Oeste;32047;4 - 20001 até 50000
1100106;11;106;1 - Norte;Rondônia;RO;Guajará-Mirim;46203;4 - 20001 até 50000
1100114;11;114;1 - Norte;Rondônia;RO;Jaru;55669;5 - 50001 até 100000
1100122;11;122;1 - Norte;Rondônia;RO;Ji-Paraná;129242;6 - 100001 até 500000
1100130;11;130;1 - Norte;Rondônia;RO;Machadinho D'Oeste;36412;4 - 20001 até 50000
1100148;11;148;1 - Norte;Rondônia;RO;Nova Brasilândia D'Oeste;21511;4 - 20001 até 50000
1100155;11;155;1 - Norte;Rondônia;RO;Ouro Preto do Oeste;40010;4 - 20001 até 50000
1100189;11;189;1 - Norte;Rondônia;RO;Pimenta Bueno;37230;4 - 20001 até 50000
1100205;11;205;1 - Norte;Rondônia;RO;Porto Velho;494013;6 - 100001 até 500000
1100254;11;254;1 - Norte;Rondônia;RO;Presidente Médici;22783;4 - 20001 até 50000
1100262;11;262;1 - Norte;Rondônia;RO;Rio Crespo;3709;1 - Até 5000
1100288;11;288;1 - Norte;Rondônia;RO;Rolim de Moura;55807;5 - 50001 até 100000
1100296;11;296;1 - Norte;Rondônia;RO;Santa Luzia D'Oeste;8706;2 - 5001 até 10000
1100304;11;304;1 - Norte;Rondônia;RO;Vilhena;89797;5 - 50001 até 100000
1100320;11;320;1 - Norte;Rondônia;RO;São Miguel do Guaporé;23803;4 - 20001 até 50000
1100338;11;338;1 - Norte;Rondônia;RO;Nova Mamoré;26925;4 - 20001 até 50000
1100346;11;346;1 - Norte;Rondônia;RO;Alvorada D'Oeste;17228;3 - 10001 até 20000
1100379;11;379;1 - Norte;Rondônia;RO;Alto Alegre dos Parecis;13884;3 - 10001 até 20000
1100403;11;403;1 - Norte;Rondônia;RO;Alto Paraíso;19841;3 - 10001 até 20000
1100452;11;452;1 - Norte;Rondônia;RO;Buritis;37207;4 - 20001 até 50000
1100502;11;502;1 - Norte;Rondônia;RO;Novo Horizonte do Oeste;10393;3 - 10001 até 20000
1100601;11;601;1 - Norte;Rondônia;RO;Cacaulândia;6318;2 - 5001 até 10000
1100700;11;700;1 - Norte;Rondônia;RO;Campo Novo de Rondônia;14081;3 - 10001 até 20000
1100809;11;809;1 - Norte;Rondônia;RO;Candeias do Jamari;23573;4 - 20001 até 50000
1100908;11;908;1 - Norte;Rondônia;RO;Castanheiras;3653;1 - Até 5000
1100924;11;924;1 - Norte;Rondônia;RO;Chupinguaia;9887;2 - 5001 até 10000
1100940;11;940;1 - Norte;Rondônia;RO;Cujubim;20204;4 - 20001 até 50000
1101005;11;1005;1 - Norte;Rondônia;RO;Governador Jorge Teixeira;10327;3 - 10001 até 20000
1101104;11;1104;1 - Norte;Rondônia;RO;Itapuã do Oeste;9831;2 - 5001 até 10000
1101203;11;1203;1 - Norte;Rondônia;RO;Ministro Andreazza;10860;3 - 10001 até 20000
1101302;11;1302;1 - Norte;Rondônia;RO;Mirante da Serra;12414;3 - 10001 até 20000
1101401;11;1401;1 - Norte;Rondônia;RO;Monte Negro;15710;3 - 10001 até 20000
1101435;11;1435;1 - Norte;Rondônia;RO;Nova União;7853;2 - 5001 até 10000
1101450;11;1450;1 - Norte;Rondônia;RO;Parecis;5589;2 - 5001 até 10000
1101468;11;1468;1 - Norte;Rondônia;RO;Pimenteiras do Oeste;2432;1 - Até 5000
1101476;11;1476;1 - Norte;Rondônia;RO;Primavera de Rondônia;3548;1 - Até 5000
1101484;11;1484;1 - Norte;Rondônia;RO;São Felipe D'Oeste;6160;2 - 5001 até 10000
1101492;11;1492;1 - Norte;Rondônia;RO;São Francisco do Guaporé;18640;3 - 10001 até 20000
1101500;11;1500;1 - Norte;Rondônia;RO;Seringueiras;12543;3 - 10001 até 20000
1101559;11;1559;1 - Norte;Rondônia;RO;Teixeirópolis;5041;2 - 5001 até 10000
1101609;11;1609;1 - Norte;Rondônia;RO;Theobroma;11345;3 - 10001 até 20000
1101708;11;1708;1 - Norte;Rondônia;RO;Urupá;13391;3 - 10001 até 20000
1101757;11;1757;1 - Norte;Rondônia;RO;Vale do Anari;10682;3 - 10001 até 20000
1101807;11;1807;1 - Norte;Rondônia;RO;Vale do Paraíso;8327;2 - 5001 até 10000
1200013;12;13;1 - Norte;Acre;AC;Acrelândia;13613;3 - 10001 até 20000
1200054;12;54;1 - Norte;Acre;AC;Assis Brasil;6610;2 - 5001 até 10000
1200104;12;104;1 - Norte;Acre;AC;Brasiléia;23378;4 - 20001 até 50000
1200138;12;138;1 - Norte;Acre;AC;Bujari;9173;2 - 5001 até 10000
1200179;12;179;1 - Norte;Acre;AC;Capixaba;10170;3 - 10001 até 20000
1200203;12;203;1 - Norte;Acre;AC;Cruzeiro do Sul;80953;5 - 50001 até 100000
1200252;12;252;1 - Norte;Acre;AC;Epitaciolândia;16417;3 - 10001 até 20000
1200302;12;302;1 - Norte;Acre;AC;Feijó;32398;4 - 20001 até 50000
1200328;12;328;1 - Norte;Acre;AC;Jordão;7330;2 - 5001 até 10000
1200336;12;336;1 - Norte;Acre;AC;Mâncio Lima;16795;3 - 10001 até 20000
1200344;12;344;1 - Norte;Acre;AC;Manoel Urbano;8514;2 - 5001 até 10000
1200351;12;351;1 - Norte;Acre;AC;Marechal Thaumaturgo;16380;3 - 10001 até 20000
1200385;12;385;1 - Norte;Acre;AC;Plácido de Castro;17979;3 - 10001 até 20000
1200393;12;393;1 - Norte;Acre;AC;Porto Walter;10453;3 - 10001 até 20000
1200401;12;401;1 - Norte;Acre;AC;Rio Branco;363928;6 - 100001 até 500000
1200427;12;427;1 - Norte;Acre;AC;Rodrigues Alves;16475;3 - 10001 até 20000
1200435;12;435;1 - Norte;Acre;AC;Santa Rosa do Purus;5593;2 - 5001 até 10000
1200450;12;450;1 - Norte;Acre;AC;Senador Guiomard;20992;4 - 20001 até 50000
1200500;12;500;1 - Norte;Acre;AC;Sena Madureira;41036;4 - 20001 até 50000
1200609;12;609;1 - Norte;Acre;AC;Tarauacá;38201;4 - 20001 até 50000
1200708;12;708;1 - Norte;Acre;AC;Xapuri;17317;3 - 10001 até 20000
1200807;12;807;1 - Norte;Acre;AC;Porto Acre;16396;3 - 10001 até 20000
1300029;13;29;1 - Norte;Amazonas;AM;Alvarães;15357;3 - 10001 até 20000
1300060;13;60;1 - Norte;Amazonas;AM;Amaturá;10644;3 - 10001 até 20000
1300086;13;86;1 - Norte;Amazonas;AM;Anamã;11981;3 - 10001 até 20000
1300102;13;102;1 - Norte;Amazonas;AM;Anori;18826;3 - 10001 até 20000
